;#;N;PLAYER;A;BORN;BIRTHPLACE;HT;WT;S;Saison;Poste
167;;;Martin Bovo (F);45;1978;;188;88;-0;2001-2002;FORWARDS
168;;;Benoit Gaulier (F);47;1977;;180;75;-0;2001-2002;FORWARDS
169;;;Grégory Gibeaux (F);49;1974;;172;75;-0;2001-2002;FORWARDS
170;;;Julien Mauget (F);43;1981;;179;66;-0;2001-2002;FORWARDS
171;;;Guilhem Pechmeja (F);48;1975;Villefranche-sur-Saône, FRA;179;74;-0;2001-2002;FORWARDS
172;;;Benjamin Puig (F);45;1978;Annecy, FRA;172;73;R;2001-2002;FORWARDS
173;;;Guillaume Solves (F);45;1979;;180;67;-0;2001-2002;FORWARDS
177;;;Raphaël Alonso (G);42;1981;;176;60;-0;2002-2003;FORWARDS
178;;;Raphaël Vincent (G);42;1981;Toulouse, FRA;172;70;L;2002-2003;FORWARDS
180;;;Brice Bombal (D);47;1977;Bordeaux, FRA;171;77;-0;2002-2003;DEFENSEMEN
181;;;Yoann Crettenand (D);44;1979;Bonneville, FRA;180;80;L;2002-2003;DEFENSEMEN
182;;;François Goudet (D);47;1976;;175;77;-0;2002-2003;DEFENSEMEN
183;;;Samuel Lesecq (D);48;1976;;175;70;-0;2002-2003;DEFENSEMEN
184;;;Antoine Lombard (D);40;1983;;-0;-0;-0;2002-2003;DEFENSEMEN
185;;;Delphin Mutte (D);49;1974;Croix, FRA;179;78;-0;2002-2003;DEFENSEMEN
187;;;Dominique Blondin (F);57;1967;;173;75;-0;2002-2003;FORWARDS
188;;;Baptiste Bobillier (F);49;1975;Pontoise, FRA;174;75;-0;2002-2003;FORWARDS
189;;;Jérôme Bonello (F);47;1976;;185;80;-0;2002-2003;FORWARDS
190;;;Grégory Gibeaux (F);49;1974;;172;75;-0;2002-2003;FORWARDS
191;;;Julien Mauget (F);43;1981;;179;66;-0;2002-2003;FORWARDS
192;;;Guilhem Pechmeja (F);48;1975;Villefranche-sur-Saône, FRA;179;74;-0;2002-2003;FORWARDS
193;;;Guillaume Solves (F);45;1979;;180;67;-0;2002-2003;FORWARDS
197;;;Sébastien Picat (G);48;1976;;178;62;-0;2003-2004;FORWARDS
198;;;Raphaël Vincent (G);42;1981;Toulouse, FRA;172;70;L;2003-2004;FORWARDS
200;;;"Yoann Crettenand (D)""A""";44;1979;Bonneville, FRA;180;80;L;2003-2004;DEFENSEMEN
201;;;Damien Gadiot (D);38;1985;Toulouse, FRA;180;78;L;2003-2004;DEFENSEMEN
202;;;Antoine Lombard (D);40;1983;;-0;-0;-0;2003-2004;DEFENSEMEN
203;;;Delphin Mutte (D);49;1974;Croix, FRA;179;78;-0;2003-2004;DEFENSEMEN
204;;;Terry Prunier (D);40;1984;Rouen, FRA;186;88;L;2003-2004;DEFENSEMEN
206;;;Baptiste Bobillier (F);49;1975;Pontoise, FRA;174;75;-0;2003-2004;FORWARDS
207;;;Jean-Luc Brouard (F);45;1979;;176;70;-0;2003-2004;FORWARDS
208;;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2003-2004;FORWARDS
209;;;"Grégory Gibeaux (F)""C""";49;1974;;172;75;-0;2003-2004;FORWARDS
210;;;"Julien Mauget (F)""A""";43;1981;;179;66;-0;2003-2004;FORWARDS
211;;;Guilhem Pechmeja (F);48;1975;Villefranche-sur-Saône, FRA;179;74;-0;2003-2004;FORWARDS
212;;;Benjamin Puig (F);45;1978;Annecy, FRA;172;73;R;2003-2004;FORWARDS
213;;;Sébastien Savajol (F);42;1982;Toulon, FRA;172;70;L;2003-2004;FORWARDS
214;;;Guillaume Solves (F);45;1979;;180;67;-0;2003-2004;FORWARDS
215;;;Thibaut Villemejane (F);39;1985;;183;75;L;2003-2004;FORWARDS
219;;;Thomas Picavet (G);39;1985;Toulouse, FRA;177;69;L;2004-2005;FORWARDS
220;;;Raphaël Vincent (G);42;1981;Toulouse, FRA;172;70;L;2004-2005;FORWARDS
222;;;Gérald Arce (D);37;1986;;172;72;-0;2004-2005;DEFENSEMEN
223;;;"Yoann Crettenand (D)""A""";44;1979;Bonneville, FRA;180;80;L;2004-2005;DEFENSEMEN
224;;;Damien Gadiot (D);38;1985;Toulouse, FRA;180;78;L;2004-2005;DEFENSEMEN
225;;;François Goudet (D);47;1976;;175;77;-0;2004-2005;DEFENSEMEN
226;;;"Antoine Lombard (D)""A""";40;1983;;-0;-0;-0;2004-2005;DEFENSEMEN
227;;;"Terry Prunier (D)""C""";40;1984;Rouen, FRA;186;88;L;2004-2005;DEFENSEMEN
229;;;Pierre Audevard (F);38;1986;;187;70;-0;2004-2005;FORWARDS
230;;;Dominique Blondin (F);57;1967;;173;75;-0;2004-2005;FORWARDS
231;;;Baptiste Bobillier (F);49;1975;Pontoise, FRA;174;75;-0;2004-2005;FORWARDS
232;;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2004-2005;FORWARDS
233;;;Emmanuel Delpet (F);47;1977;;175;71;-0;2004-2005;FORWARDS
234;;;Grégory Gibeaux (F);49;1974;;172;75;-0;2004-2005;FORWARDS
