;#;N;PLAYER;A;BORN;BIRTHPLACE;HT;WT;S;Saison;Poste
703;#11;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2022-2023;FORWARDS
704;#70;;Ugo Boccassini (RW);24;2000;Marseille, FRA;168;73;R;2022-2023;FORWARDS
705;#20;;Damien Bourguignon (C);31;1992;Athis-Mons, FRA;176;78;L;2022-2023;FORWARDS
706;;;Alexandre Capet (C);37;1986;Colombes, FRA;178;71;L;2022-2023;FORWARDS
707;#26;;Timothée Champin-Flachaire (F);23;2001;Toulouse, FRA;182;76;L;2022-2023;FORWARDS
708;#30;;"Nicolas Chauveau (F)""A""";33;1991;Clichy, FRA;178;80;L;2022-2023;FORWARDS
709;#8;;Arthur Chauvet (F);22;2002;La Roche-sur-Yon, FRA;175;77;L;2022-2023;FORWARDS
710;#34;;Alex MacDonald (C);27;1997;Windsor Junction, NS, CAN;175;76;R;2022-2023;FORWARDS
711;#27;;Eddy Martin-Whalen (RW);36;1988;LaSalle, QC, CAN;175;84;L;2022-2023;FORWARDS
712;;;Jonathan Martinez (F);19;2004;Toulouse, FRA;170;60;L;2022-2023;FORWARDS
713;#59;;Camille Mutte (F);20;2003;Toulouse, FRA;174;73;L;2022-2023;FORWARDS
714;#24;;Alexander Stephenson (C/LW);33;1990;Montréal, QC, CAN;178;82;L;2022-2023;FORWARDS
715;#3;;Pablo Sudor (F);23;2001;Toulouse, FRA;180;80;L;2022-2023;FORWARDS
719;#35;;Xavier Bolduc (G);24;2000;St-Éphrem, QC, CAN;183;86;L;2023-2024;FORWARDS
720;#87;;Julien Fortes-Da Cruz (G);37;1987;Toulouse, FRA;187;100;L;2023-2024;FORWARDS
721;#32;;Aubin Narbonne (G);20;2003;Limoges, FRA;184;75;L;2023-2024;FORWARDS
723;#60;;Aristide Degardin (D);23;2000;Paris, FRA;185;70;R;2023-2024;DEFENSEMEN
724;#17;;Maxime Foulon (D);25;1999;Toulouse, FRA;188;80;L;2023-2024;DEFENSEMEN
725;#37;;Loïc Mairal (D);21;2002;Toulouse, FRA;183;73;L;2023-2024;DEFENSEMEN
726;#24;;Ryan O'Connell (D);25;1999;Gloucester, ON, CAN;185;84;L;2023-2024;DEFENSEMEN
727;#81;;Pierre Pampanay (D/F);26;1998;Sallanches, FRA;174;77;L;2023-2024;DEFENSEMEN
728;#5;;"Sébastien Pommier (D)""A""";31;1993;Dunkerque, FRA;188;85;L;2023-2024;DEFENSEMEN
729;#10;;Gaëtan Portier (D/F);34;1990;Eaubonne, FRA;187;87;R;2023-2024;DEFENSEMEN
731;#71;;Valentin Audisio (F);22;2001;Toulouse, FRA;170;71;R;2023-2024;FORWARDS
732;#55;;Joakim Bergeron (LW);23;2001;Roxton Pond, QC, CAN;175;72;L;2023-2024;FORWARDS
733;#95;;"Flaury Bermond (F)""C""";29;1995;Gap, FRA;173;74;L;2023-2024;FORWARDS
734;#11;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2023-2024;FORWARDS
735;#70;;Ugo Boccassini (RW);24;2000;Marseille, FRA;168;73;R;2023-2024;FORWARDS
736;#25;;Quentin Borg (F);21;2003;Toulouse, FRA;172;72;L;2023-2024;FORWARDS
737;#20;;Damien Bourguignon (C);31;1992;Athis-Mons, FRA;176;78;L;2023-2024;FORWARDS
738;#15;;Pierre Byé (F);21;2003;Toulouse, FRA;179;74;L;2023-2024;FORWARDS
739;#30;;"Nicolas Chauveau (F)""A""";33;1991;Clichy, FRA;178;80;L;2023-2024;FORWARDS
740;#8;;Arthur Chauvet (F);22;2002;La Roche-sur-Yon, FRA;175;77;L;2023-2024;FORWARDS
741;#13;;Marvin Krukoff (LW);31;1993;Toulouse, FRA;187;88;R;2023-2024;FORWARDS
742;#34;;Alex MacDonald (C);27;1997;Windsor Junction, NS, CAN;175;76;R;2023-2024;FORWARDS
743;#27;;Eddy Martin-Whalen (RW);36;1988;LaSalle, QC, CAN;175;84;L;2023-2024;FORWARDS
744;#59;;Camille Mutte (F);20;2003;Toulouse, FRA;174;73;L;2023-2024;FORWARDS
745;#3;;Pablo Sudor (F);23;2001;Toulouse, FRA;180;80;L;2023-2024;FORWARDS
