,,,,,,,,,,
1990-1991 TOULOUSE-BLAGNAC ROSTER,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
,,,Frédéric Leveque (F),46,1978,"Saint-Pierre-et-Miquelon, FRA",182,78,-0,
,,,Julien Mauget (F),43,1981,,179,66,-0,
,,,Benjamin Puig (F),45,1978,"Annecy, FRA",172,73,R,
,,,Guillaume Solves (F),45,1979,,180,67,-0,
2001-2002 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Raphaël Alonso (G),42,1981,,176,60,-0,
,,,Sébastien Picat (G),48,1976,,178,62,-0,
,,,Petri Ylönen (G),61,1962,"Helsinki, FIN",190,91,L,
DEFENSEMEN,,,,,,,,,,
,,,Brice Bombal (D),47,1977,"Bordeaux, FRA",171,77,-0,
,,,François Goudet (D),47,1976,,175,77,-0,
,,,Samuel Lesecq (D),48,1976,,175,70,-0,
,,,Delphin Mutte (D),49,1974,"Croix, FRA",179,78,-0,
FORWARDS,,,,,,,,,,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
,,,Jérôme Bonello (F),47,1976,,185,80,-0,
,,,Martin Bovo (F),45,1978,,188,88,-0,
,,,Benoit Gaulier (F),47,1977,,180,75,-0,
,,,Grégory Gibeaux (F),49,1974,,172,75,-0,
,,,Julien Mauget (F),43,1981,,179,66,-0,
,,,Guilhem Pechmeja (F),48,1975,"Villefranche-sur-Saône, FRA",179,74,-0,
,,,Benjamin Puig (F),45,1978,"Annecy, FRA",172,73,R,
,,,Guillaume Solves (F),45,1979,,180,67,-0,
2002-2003 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Raphaël Alonso (G),42,1981,,176,60,-0,
,,,Raphaël Vincent (G),42,1981,"Toulouse, FRA",172,70,L,
DEFENSEMEN,,,,,,,,,,
,,,Brice Bombal (D),47,1977,"Bordeaux, FRA",171,77,-0,
,,,Yoann Crettenand (D),44,1979,"Bonneville, FRA",180,80,L,
,,,François Goudet (D),47,1976,,175,77,-0,
,,,Samuel Lesecq (D),48,1976,,175,70,-0,
,,,Antoine Lombard (D),40,1983,,-0,-0,-0,
,,,Delphin Mutte (D),49,1974,"Croix, FRA",179,78,-0,
FORWARDS,,,,,,,,,,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
,,,Baptiste Bobillier (F),49,1975,"Pontoise, FRA",174,75,-0,
,,,Jérôme Bonello (F),47,1976,,185,80,-0,
,,,Grégory Gibeaux (F),49,1974,,172,75,-0,
,,,Julien Mauget (F),43,1981,,179,66,-0,
,,,Guilhem Pechmeja (F),48,1975,"Villefranche-sur-Saône, FRA",179,74,-0,
,,,Guillaume Solves (F),45,1979,,180,67,-0,
2003-2004 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Sébastien Picat (G),48,1976,,178,62,-0,
,,,Raphaël Vincent (G),42,1981,"Toulouse, FRA",172,70,L,
DEFENSEMEN,,,,,,,,,,
,,,"Yoann Crettenand (D)""A""",44,1979,"Bonneville, FRA",180,80,L,
,,,Damien Gadiot (D),38,1985,"Toulouse, FRA",180,78,L,
,,,Antoine Lombard (D),40,1983,,-0,-0,-0,
,,,Delphin Mutte (D),49,1974,"Croix, FRA",179,78,-0,
,,,Terry Prunier (D),40,1984,"Rouen, FRA",186,88,L,
FORWARDS,,,,,,,,,,
,,,Baptiste Bobillier (F),49,1975,"Pontoise, FRA",174,75,-0,
,,,Jean-Luc Brouard (F),45,1979,,176,70,-0,
,,,Alexis Codevelle (F),37,1986,"Lyon, FRA",180,65,L,
,,,"Grégory Gibeaux (F)""C""",49,1974,,172,75,-0,
,,,"Julien Mauget (F)""A""",43,1981,,179,66,-0,
,,,Guilhem Pechmeja (F),48,1975,"Villefranche-sur-Saône, FRA",179,74,-0,
,,,Benjamin Puig (F),45,1978,"Annecy, FRA",172,73,R,
,,,Sébastien Savajol (F),42,1982,"Toulon, FRA",172,70,L,
,,,Guillaume Solves (F),45,1979,,180,67,-0,
,,,Thibaut Villemejane (F),39,1985,,183,75,L,
2004-2005 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Thomas Picavet (G),39,1985,"Toulouse, FRA",177,69,L,
,,,Raphaël Vincent (G),42,1981,"Toulouse, FRA",172,70,L,
DEFENSEMEN,,,,,,,,,,
,,,Gérald Arce (D),37,1986,,172,72,-0,
,,,"Yoann Crettenand (D)""A""",44,1979,"Bonneville, FRA",180,80,L,
,,,Damien Gadiot (D),38,1985,"Toulouse, FRA",180,78,L,
,,,François Goudet (D),47,1976,,175,77,-0,
,,,"Antoine Lombard (D)""A""",40,1983,,-0,-0,-0,
,,,"Terry Prunier (D)""C""",40,1984,"Rouen, FRA",186,88,L,
FORWARDS,,,,,,,,,,
,,,Pierre Audevard (F),38,1986,,187,70,-0,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
,,,Baptiste Bobillier (F),49,1975,"Pontoise, FRA",174,75,-0,
,,,Alexis Codevelle (F),37,1986,"Lyon, FRA",180,65,L,
,,,Emmanuel Delpet (F),47,1977,,175,71,-0,
,,,Grégory Gibeaux (F),49,1974,,172,75,-0,
,,,Benjamin Puig (F),45,1978,"Annecy, FRA",172,73,R,
,,,Guillaume Solves (F),45,1979,,180,67,-0,
,,,Thibaut Villemejane (F),39,1985,,183,75,L,
2005-2006 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Thomas Picavet (G),39,1985,"Toulouse, FRA",177,69,L,
,,,Raphaël Vincent (G),42,1981,"Toulouse, FRA",172,70,L,
DEFENSEMEN,,,,,,,,,,
,,,Gérald Arce (D),37,1986,,172,72,-0,
,,,Damien Gadiot (D),38,1985,"Toulouse, FRA",180,78,L,
,,,Benoît Pourtanel (D),50,1974,"Ris-Orangis, FRA",180,86,L,
,,,Terry Prunier (D),40,1984,"Rouen, FRA",186,88,L,
FORWARDS,,,,,,,,,,
,,,Pierre Audevard (F),38,1986,,187,70,-0,
,,,"Lionel Barin (F)""A""",56,1968,,172,82,-0,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
,,,Baptiste Bobillier (F),49,1975,"Pontoise, FRA",174,75,-0,
,,,Alexis Codevelle (F),37,1986,"Lyon, FRA",180,65,L,
,,,"Emmanuel Delpet (F)""A""",47,1977,,175,71,-0,
,,,"Olivier Escuder (F)""C""",46,1977,,185,80,-0,
,,,Grégory Gibeaux (F),49,1974,,172,75,-0,
,,,Julien Mauget (F),43,1981,,179,66,-0,
,,,Eric Medeiros (C),47,1977,"Milton, ON, CAN",170,85,L,
,,,Guilhem Pechmeja (F),48,1975,"Villefranche-sur-Saône, FRA",179,74,-0,
,,,Guillaume Solves (F),45,1979,,180,67,-0,
2006-2007 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Thomas Picavet (G),39,1985,"Toulouse, FRA",177,69,L,
,,,Raphaël Vincent (G),42,1981,"Toulouse, FRA",172,70,L,
